link_id,Acum,Area,Long,h_order,dest,prun_7,prun_6,prun_5,prun_4
328954,0.407776,0.407776,0.684,1,328806,2,3,17,80
348662,8.1379,0.788504,1.015,3,348663,2,7,24,87
283976,2.918805,0.691278,1.337,2,283977,3,4,8,14
346496,5.431276,0.241707,0.784,3,346497,2,7,24,102
341451,5.01574,1.03143,1.963,2,341452,2,6,26,54
307879,0.268149,0.268149,0.654,1,307850,3,5,12,26
304184,0.268252,0.268252,1.209,1,303138,2,3,17,44
327516,0.229399,0.229399,0.621,1,328189,2,6,22,84
309150,0.178743,0.178743,0.587,1,309345,3,5,25,98
322425,0.293277,0.293277,0.689,1,321486,2,3,17,62
293967,4.986697,0.33251,0.622,3,293968,3,4,8,73
344621,27.44832,0.586027,1.207,4,344622,2,6,26,54
302051,0.242758,0.242758,0.553,1,302235,3,5,9,78
283587,0.140815,0.140815,0.458,1,284166,3,4,23,93
280499,9.872195,1.075623,1.273,3,280500,3,4,23,106
311004,0.217005,0.217005,0.49,1,310999,3,5,25,98
313475,458.29105,0.166138,0.263,6,313476,2,3,7,10
289474,0.268666,0.268666,0.785,1,289934,3,9,27,55
313464,413.92337,0.651131,1.278,6,313465,2,3,7,15
314980,0.293481,0.293481,0.621,1,314239,3,5,12,91
268202,6.97308,0.538235,1.081,2,269728,3,4,4,56
325469,209.91582,0.689056,1.272,5,325470,2,6,10,22
269418,2.153366,0.922856,1.174,2,269718,3,4,4,56
302739,0.204412,0.204412,0.817,1,303558,3,5,34,143
294883,0.421954,0.421954,0.588,1,313484,2,3,5,7
339168,3.615654,0.483943,1.013,2,339970,2,6,29,74
314402,0.331762,0.331762,0.521,1,314063,2,6,32,128
310266,1.378756,1.378756,1.462,1,312081,2,3,7,83
286362,8.010823,1.62478,3.078,3,286363,3,9,27,68
319677,0.548458,0.548458,1.404,1,318521,2,3,17,126
276812,1.575474,0.115287,0.195,2,276813,2,2,2,2
321832,0.5356,0.5356,1.374,1,320362,2,6,32,141
298749,1.444251,0.383431,0.588,2,298750,3,9,28,110
307873,249.91342,0.127868,0.163,5,307874,3,5,9,20
285011,2.405684,0.012799,0.131,2,285012,2,2,2,99
307867,239.45538,0.485733,0.654,5,307868,3,5,9,21
324128,5.724163,0.420652,0.847,2,327005,2,6,22,61
312083,2.807496,0.102109,0.327,2,312084,2,3,7,17
291186,0.140703,0.140703,0.358,1,286368,3,9,27,68
349929,2.581129,0.101721,0.326,2,349930,2,7,24,87
300348,0.613408,0.613408,0.852,1,301216,3,5,37,95
308442,2.196176,1.404594,2.027,2,311017,2,8,18,53
322000,0.53555,0.53555,0.68,1,322001,2,6,22,71
294336,0.498701,0.498701,1.112,1,295244,3,9,28,57
324814,0.280447,0.280447,0.458,1,325285,2,3,17,103
297347,1.214425,0.025567,0.163,2,297348,3,5,9,21
319848,1.479459,0.038265,0.163,2,319849,2,3,21,90
274537,1.319804,1.319804,2.159,1,272497,3,4,4,56
272675,1.294255,0.486963,0.916,2,269726,3,4,4,56
304865,0.676992,0.676992,0.685,1,302930,3,5,16,92
