link_id,Acum,Area,Long,h_order,dest,prun_7,prun_6,prun_5,prun_4
426492,0.15137,0.15137,0.421,1,426846,7,14,44,163
398024,0.518741,0.518741,1.24,1,398507,4,11,27,276
427187,0.227041,0.227041,0.451,1,427363,7,14,44,270
436078,0.566978,0.037801,0.325,2,441904,5,9,24,202
465671,0.288845,0.288845,0.619,1,464802,6,10,74,201
440345,25.474094,0.037827,0.163,4,434404,3,4,80,218
367361,63.69795,0.647098,1.268,5,367362,0,0,0,157
388839,9.61341,0.519231,0.845,4,388840,4,17,75,290
367369,79.22591,0.278984,0.423,5,367370,0,0,0,145
390625,0.18994,0.18994,0.751,1,388840,4,17,75,290
439025,1.246994,0.415692,0.584,2,439026,6,8,17,48
442090,22.847612,0.390423,0.588,4,442091,3,4,52,208
418657,0.391337,0.391337,0.457,1,418525,3,3,82,446
480391,339.64978,0.302305,0.258,5,480392,5,9,29,85
482091,0.927524,0.413636,1.0,2,487871,5,9,65,175
432325,2.092403,0.642908,0.913,2,432326,5,6,14,44
401206,0.645033,0.075891,0.294,2,400693,4,11,27,276
430175,9.429997,0.491734,0.584,3,430176,7,14,50,258
454529,51.807472,1.219349,1.329,4,454530,6,10,60,167
433174,4.39932,0.025216,0.163,2,433175,3,4,63,370
429336,1.147642,1.147642,2.089,1,427671,3,3,6,243
414680,50.215675,0.037918,0.163,4,414681,4,15,54,154
426656,0.428885,0.428885,0.776,1,426497,7,18,64,429
389091,2.444233,0.240631,0.452,3,389092,4,17,75,488
407895,0.176951,0.176951,0.425,1,406606,4,11,27,75
454350,12.31109,1.722815,1.483,3,454351,6,10,60,212
472370,0.200769,0.200769,0.456,1,471849,6,10,46,348
430681,0.201728,0.201728,0.588,1,430358,3,4,63,370
427179,0.428859,0.428859,0.715,1,426475,3,16,96,363
389607,1.241136,0.227947,0.585,2,388859,4,20,49,407
451056,0.90583,0.90583,1.601,1,450376,6,21,79,438
412294,28.990355,0.429627,0.651,4,412295,4,11,66,206
393254,0.367112,0.367112,0.62,1,392484,2,2,2,2
458052,1.181461,0.037708,0.163,2,458053,5,13,43,321
471086,1.229915,0.426705,0.64,2,471710,6,10,46,348
490044,0.363195,0.363195,0.688,1,489223,5,9,65,349
370643,2.131694,0.1015,0.294,2,370644,0,0,0,207
374376,0.456625,0.456625,0.752,1,374022,4,5,56,278
388477,0.215311,0.215311,0.62,1,386170,4,5,72,195
414979,0.757816,0.757816,1.265,1,414282,3,16,41,353
459107,0.565565,0.565565,1.202,1,458359,5,9,29,280
405319,2.616789,0.391942,0.688,3,405320,4,7,87,314
481473,0.313374,0.313374,0.773,1,481925,6,10,42,133
448942,662.9786,1.334473,1.514,6,448943,6,8,21,55
